user_id,anime_id,rating
342,1,-1
342,20,9
342,121,-1
342,226,7
342,270,-1
342,356,-1
342,889,-1
342,934,-1
342,1195,-1
342,1519,-1
342,1535,6
342,1575,-1
342,1691,-1
342,1840,-1
342,1889,-1
342,2025,-1
342,2026,-1
342,2104,-1
342,2167,10
342,2236,-1
342,2476,-1
342,2593,7
342,2759,-1
342,2889,7
342,2904,-1
342,2966,-1
342,2993,6
342,3455,10
342,3457,6
342,3503,7
342,3588,6
342,3712,-1
342,3782,-1
342,3783,-1
342,4059,10
342,4063,7
342,4181,10
342,4182,-1
342,4214,7
342,4224,-1
342,4280,-1
342,4282,-1
342,4654,-1
342,4725,-1
342,5081,7
342,5114,-1
342,5204,-1
342,5341,-1
342,5630,-1
342,5681,-1
342,5958,-1
342,6007,-1
342,6045,-1
342,6213,-1
342,6347,-1
342,6547,5
342,6573,-1
342,6682,7
342,6746,-1
342,6922,-1
342,7054,-1
342,7059,-1
342,7088,-1
342,7148,-1
342,7338,-1
342,7674,-1
342,7724,-1
342,7817,-1
342,8074,8
342,8516,-1
342,8525,-1
342,8630,-1
342,8675,-1
342,8769,-1
342,8841,7
342,8861,7
342,8937,-1
342,9041,9
342,9253,-1
342,9367,10
342,9515,9
342,9756,7
342,9919,-1
342,9989,-1
342,10080,-1
342,10087,8
342,10110,-1
342,10456,-1
342,10620,7
342,10719,-1
342,10790,7
342,10793,-1
342,10863,-1
342,10897,-1
342,11013,-1
342,11111,-1
342,11285,-1
342,11499,8
342,11597,5
342,11617,10
342,11633,-1
342,11741,8
342,11757,-1
342,12445,10
342,13161,8
342,13601,-1
342,14227,-1
342,14345,-1
342,14467,-1
342,14513,7
342,14741,-1
342,14813,-1
342,14967,-1
342,15315,-1
342,15583,8
342,15689,7
342,15809,8
342,16009,5
342,16049,-1
342,16498,8
342,16592,-1
342,16742,7
342,17247,-1
342,17265,-1
342,18115,-1
342,18153,-1
342,18679,-1
342,19815,-1
342,20031,-1
342,20507,-1
342,20541,-1
342,20785,-1
342,20787,-1
342,20853,-1
342,21431,-1
342,21881,-1
342,22319,-1
342,28121,-1
342,30276,-1
1145,6,8
1145,30,9
1145,32,10
1145,101,-1
1145,169,6
1145,199,8
1145,205,10
1145,226,7
1145,227,-1
1145,240,8
1145,355,8
1145,356,8
1145,357,5
1145,934,7
1145,1195,8
1145,1210,8
1145,1575,9
1145,1691,8
1145,1840,8
1145,1889,7
1145,2001,9
1145,2025,9
1145,2026,8
1145,2167,7
1145,2236,9
1145,2251,9
1145,2476,-1
1145,2593,8
1145,2759,9
1145,2787,8
1145,2904,9
1145,2966,8
1145,2993,6
1145,3455,8
1145,3712,8
1145,3782,8
1145,3783,8
1145,4059,7
1145,4063,7
1145,4181,7
1145,4182,8
1145,4224,8
1145,4280,8
1145,4282,8
1145,4654,8
1145,4725,7
1145,4975,7
1145,5030,6
1145,5081,9
1145,5204,8
1145,5341,8
1145,5356,8
1145,5680,7
1145,5681,9
1145,5958,8
1145,6007,8
1145,6045,8
1145,6205,7
1145,6213,6
1145,6347,8
1145,6512,7
1145,6547,8
1145,6573,9
