user_id,anime_id,rating
1,1,2
1,2,6
1,3,4
1,5,6
1,6,7
1,7,6
1,9,7
1,10,7
1,12,6
1,13,8
1,15,4
1,16,7
1,17,10
1,18,6
1,19,7
1,20,7
1,21,9
1,22,6
1,23,8
1,24,9
1,26,6
1,27,8
1,28,10
1,30,7
1,31,8
1,32,8
1,35,10
1,36,3
1,38,7
1,39,7
1,40,9
1,41,10
1,42,8
1,44,8
1,45,8
1,46,9
1,47,7
1,48,8
1,49,10
1,50,6
1,51,9
1,52,7
1,54,4
1,55,8
1,56,8
1,57,8
1,58,9
1,59,8
1,60,8
1,61,6
1,62,9
1,63,7
1,64,5
1,66,10
1,67,8
1,68,5
1,69,7
1,70,6
1,71,9
1,72,8
1,73,7
1,74,7
1,75,7
1,76,7
1,77,9
1,79,9
1,80,9
1,81,7
1,82,9
1,83,9
1,84,10
1,85,10
1,86,8
1,87,6
1,88,6
1,89,7
1,90,8
1,91,8
1,92,8
1,93,8
1,94,10
1,95,6
1,96,7
1,97,7
1,98,6
1,99,6
1,101,4
1,102,8
1,103,6
1,104,7
1,105,9
1,106,7
1,107,6
1,108,6
1,109,10
1,110,8
1,111,6
1,112,9
1,113,8
1,114,10
1,115,6
1,116,8
1,117,9
1,118,6
1,119,7
1,120,5
1,121,7
1,122,6
1,123,7
1,124,6
1,125,9
1,126,7
1,127,10
1,128,7
1,129,7
1,130,9
1,131,6
1,132,9
1,133,8
1,134,8
1,135,6
1,136,8
1,137,9
1,138,8
1,139,8
1,140,8
1,141,7
1,142,8
1,143,7
1,144,7
1,145,7
1,146,7
1,147,5
1,148,10
1,149,7
1,150,8
1,152,5
1,154,6
1,155,7
1,156,8
1,157,10
1,158,7
1,159,6
1,160,8
1,161,6
1,162,6
1,163,8
1,164,6
1,165,7
1,166,6
1,167,5
1,168,8
1,169,10
1,170,9
1,171,7
1,172,7
1,173,10
1,174,7
1,175,8
1,176,10
1,177,8
1,178,8
1,179,10
1,180,9
1,182,8
1,183,9
1,184,8
1,185,8
1,186,9
1,187,9
1,188,8
1,189,8
1,190,7
1,191,9
1,192,10
1,193,8
1,194,8
1,195,8
1,196,9
1,197,8
1,199,9
1,200,6
2,1,7
2,2,10
2,3,10
2,4,9
2,5,7
2,6,8
2,7,7
2,9,10
2,10,7
2,11,8
2,12,9
2,13,8
2,14,7
2,15,9
2,16,10
2,17,7
2,20,8
2,21,10
2,22,7
2,23,10
2,25,8
2,27,10
2,28,9
2,29,10
2,32,9
2,33,8
2,34,9
2,36,8
2,37,8
2,38,9
2,39,6
2,41,7
2,43,9
2,44,9
2,45,8
2,46,9
2,48,7
2,49,9
2,52,8
2,53,9
2,54,7
2,55,9
2,56,8
2,57,7
2,58,9
2,59,8
2,61,10
2,62,9
