user_id,anime_id,rating
342,1,-1
342,5,-1
342,20,9
342,26,-1
342,33,-1
342,43,-1
342,60,-1
342,68,-1
342,79,-1
342,121,-1
342,174,-1
342,177,-1
342,189,7
342,190,7
342,191,9
342,192,8
342,195,-1
342,196,-1
342,202,-1
342,226,7
342,237,-1
342,256,-1
342,257,-1
342,268,-1
342,269,8
342,270,-1
342,288,6
342,303,-1
342,356,-1
342,376,7
342,382,-1
342,384,-1
342,390,-1
342,395,-1
342,433,-1
342,438,-1
342,442,8
342,443,-1
342,448,-1
342,457,-1
342,524,-1
342,548,-1
342,585,-1
342,594,7
342,615,-1
342,664,-1
342,676,-1
342,756,-1
342,760,-1
342,777,-1
342,807,-1
342,877,-1
342,889,-1
342,908,-1
342,918,-1
342,934,-1
342,936,9
342,963,8
342,967,-1
342,969,-1
342,1004,-1
342,1074,7
342,1097,-1
342,1195,-1
342,1500,-1
342,1519,-1
342,1535,6
342,1575,-1
342,1631,-1
342,1639,-1
342,1686,7
342,1689,7
342,1691,-1
342,1698,-1
342,1699,-1
342,1723,10
342,1762,-1
342,1836,-1
342,1840,-1
342,1869,-1
342,1889,-1
342,1953,-1
342,1956,-1
342,2025,-1
342,2026,-1
342,2104,-1
342,2124,-1
342,2129,-1
342,2135,-1
342,2144,9
342,2167,10
342,2236,-1
342,2403,-1
342,2472,8
342,2476,-1
342,2593,7
342,2685,-1
342,2759,-1
342,2889,7
342,2899,-1
342,2904,-1
342,2905,-1
342,2924,-1
342,2951,-1
342,2966,-1
342,2993,6
342,2994,6
342,3088,-1
342,3121,-1
342,3229,-1
342,3247,10
342,3318,-1
342,3328,-1
342,3455,10
342,3457,6
342,3498,-1
342,3503,7
342,3588,6
342,3652,-1
342,3686,-1
342,3712,-1
342,3759,-1
342,3782,-1
342,3783,-1
342,3965,-1
342,4037,-1
342,4059,10
342,4063,7
342,4081,-1
342,4134,7
342,4163,-1
342,4181,10
342,4182,-1
342,4192,-1
342,4195,-1
342,4196,-1
342,4214,7
342,4224,-1
342,4246,-1
342,4280,-1
342,4282,-1
342,4286,-1
342,4437,7
342,4477,-1
342,4548,5
342,4596,-1
342,4654,-1
